call	files	sites
_applyMove	1	2
_applyCopy	1	2
_applyTest	1	2
_pathExists	1	2
restrictToOwner	1	2
JWT	1	2
jwt.sign	1	2
_headerAlgorithm	1	2
Isolate.run	1	2
hashPasswordSync	1	2
verifyPasswordSync	1	2
storedHash.split	1	2
_pbkdf2	1	2
_computeS256Challenge	1	2
program	1	2
ProgramHostFailed	1	2
ProgramTimeout	1	2
specialParams.contains	1	2
unknownSpecialParams.add	1	2
invalidParams.add	1	2
SmartScope	1	2
scope.substring	1	2
rest.substring	1	2
scopes.any	1	2
firstWhere	1	2
_privilegedSystemOperations.contains	1	2
path.startsWith	1	2
nonResourceScopes.contains	1	2
out.contains	1	2
_tagged	1	2
listSync	1	2
f.path.endsWith	1	2
NdjsonStream.lines	1	2
_pieces	1	2
delayed	1	2
AdminProvisioning._	1	1
db.getAllUsers	1	1
users.any	1	1
createInitialAdmin	1	1
db.createUser	1	1
SeedOutcome	1	1
seedAdminFromEnvironment	1	1
AdminProvisioning.createInitialAdmin	1	1
issueBootstrapToken	1	1
db.getUserCount	1	1
file.deleteSync	1	1
JwtSecret.restrictToOwner	1	1
presented.codeUnitAt	1	1
issued.codeUnitAt	1	1
CredentialResult	1	1
db.getUserByUsername	1	1
PasswordHasher.verifyPassword	1	1
lockedUntil.isAfter	1	1
lockedUntil.difference	1	1
db.incrementFailedLogins	1	1
db.lockAccount	1	1
db.updateLastLogin	1	1
PasswordHasher.needsRehash	1	1
SmartScopeEnforcer.isSystemAuthorized	1	1
unauthorizedTypes	1	1
resourceTypes.where	1	1
SmartScopeEnforcer.isPrivilegedSystemOperation	1	1
SmartScopeEnforcer.hasPatientScopes	1	1
SmartScopeEnforcer.methodToPermission	1	1
SmartScopeEnforcer.resourceTypeFromPath	1	1
SmartScopeEnforcer.isRootDataOperation	1	1
SmartScopeEnforcer.isOwnerCheckedOperation	1	1
parser	1	1
ArgParser	1	1
resolve	1	1
loadYaml	1	1
readFile	1	1
entry.key.toString	1	1
configKeys.contains	1	1
configKeys.join	1	1
args.wasParsed	1	1
v.toString	1	1
_readFile	1	1
readAsStringSync	1	1
encryptionKeyRefusal	1	1
publicKeys.contains	1	1
FhirAntServer	1	1
baseUrl	1	1
ReindexJobs	1	1
broadcast	1	1
Router	1	1
patch	1	1
Pipeline	1	1
generalLimiter.rateLimiter	1	1
authLimiter.rateLimiter	1	1
addHandler	1	1
paths.contains	1	1
limited	1	1
next	1	1
startHttp	1	1
startHttps	1	1
SecurityContext	1	1
useCertificateChainBytes	1	1
usePrivateKeyBytes	1	1
stop	1	1
subscriptions.drain	1	1
notification	1	1
_audit.drain	1	1
dbInterface.optimizeStatistics	1	1
_requestLogController.close	1	1
Timer.periodic	1	1
dbInterface.fhirDao.purgeResourcesLastUpdatedBefore	1	1
AuditEvent	1	1
step	1	1
dbInterface.failStaleExportJobs	1	1
shaped.join	1	1
uri.queryParametersAll.keys.map	1	1
toUpperCase	1	1
_requestLogController.add	1	1
dbInterface.deactivateUser	1	1
dbInterface.activateUser	1	1
validRoles.contains	1	1
validRoles.join	1	1
dbInterface.updateUserRole	1	1
body.containsKey	1	1
dbInterface.updateUserScopes	1	1
db.bumpTokenGeneration	1	1
db.getUserById	1	1
_Outcome	1	1
scope.split	1	1
db.registerOAuthClient	1	1
_uuid.v4	1	1
db.createAuthorizationCode	1	1
aud.endsWith	1	1
aud.substring	1	1
rgba	1	1
BackupService.create	1	1
BackupService.createFile	1	1
transform	1	1
fromHandlers	1	1
ignore	1	1
upload.openWrite	1	1
sink.addStream	1	1
upload.lengthSync	1	1
BackupService.restoreFile	1	1
fhir.Bundle.fromJsonString	1	1
a.compareTo	1	1
value.startsWith	1	1
e.key.toString	1	1
value.map	1	1
method.toString	1	1
req.url.toString	1	1
url.startsWith	1	1
url.contains	1	1
url.replaceAll	1	1
entryUri.path.split	1	1
withId.newId	1	1
withId.copyWith	1	1
bodyResource.newId	1	1
patchResource.toJson	1	1
FhirHttpHeaders.etag	1	1
subscriptions.activate	1	1
subscriptions.onResourceChanged	1	1
supportedCompartments.join	1	1
members.keys.toList	1	1
pageIds.add	1	1
paged.add	1	1
paged.map	1	1
containsKey	1	1
fhir.Library.fromJson	1	1
id.startsWith	1	1
library.toJson	1	1
execute	1	1
context.addAll	1	1
BundleDataProvider.fromBundle	1	1
libraryFromCql	1	1
a.toJson	1	1
results.map	1	1
r.toJson	1	1
double.tryParse	1	1
value.toJson	1	1
value.containsKey	1	1
value.toString	1	1
references.map	1	1
r.split	1	1
resolvedResources.add	1	1
reference.split	1	1
_jobIdPattern.hasMatch	1	1
BulkExportFile.fromJson	1	1
file.parent.create	1	1
file.openWrite	1	1
ExportFileCrypto.encrypt	1	1
NdjsonStream.write	1	1
out.close	1	1
_out.add	1	1
writeAll	1	1
objects.join	1	1
writeCharCode	1	1
writeln	1	1
BulkExportKickoff.fromQuery	1	1
bulkOutputFormats.join	1	1
unsupported.join	1	1
kickoff.types.join	1	1
filter.toString	1	1
compartmentTypes.intersection	1	1
kickoff.types.toSet	1	1
wanted.where	1	1
v4	1	1
request.requestedUri.toString	1	1
dbInterface.createExportJob	1	1
userId.toString	1	1
base64Encode	1	1
ExportFileCrypto.newKey	1	1
catchError	1	1
principal.userId.toString	1	1
BulkExportManifest	1	1
expires.toUtc	1	1
ExportFileCrypto.decrypt	1	1
file.open	1	1
ExportFileCrypto.plaintextLength	1	1
raf.close	1	1
jobDir.existsSync	1	1
jobDir.delete	1	1
compartmentTypes.contains	1	1
existingTypes.toSet	1	1
typesToExport.where	1	1
ref.startsWith	1	1
ref.substring	1	1
retainWhere	1	1
allResourceIds.putIfAbsent	1	1
typeFilter.contains	1	1
